count,word,rank,cumulative_fraction
7225478,de,1,0.02972
7154032,je,2,0.05914
5958515,est,3,0.08364
5009059,pas,4,0.1042
4548946,le,5,0.1229
4352645,que,6,0.1408
4134008,la,7,0.1579
3849721,tu,8,0.1737
3835659,vous,9,0.1895
3752833,un,10,0.2049
3542578,et,11,0.2195
3534420,à,12,0.234
3463836,il,13,0.2482
3153380,a,14,0.2612
2876772,ne,15,0.273
2606014,les,16,0.2838
2509883,en,17,0.2941
2356942,on,18,0.3038
2347014,ça,19,0.3134
2333574,une,20,0.323
2179702,ce,21,0.332
2120940,pour,22,0.3407
2097994,ai,23,0.3493
1626543,des,24,0.356
1424962,qui,25,0.3619
1394584,mais,26,0.3676
1293334,dans,27,0.3729
1275361,nous,28,0.3782
1274701,elle,29,0.3834
1243343,bien,30,0.3885
1242531,me,31,0.3936
1212854,si,32,0.3986
1148060,du,33,0.4034
1130167,y,34,0.408
1118266,suis,35,0.4126
1103840,non,36,0.4171
1081688,avec,37,0.4216
1064101,tout,38,0.426
1038200,plus,39,0.4302
1031026,mon,40,0.4345
978457,te,41,0.4385
956383,au,42,0.4424
904031,fait,43,0.4462
900911,moi,44,0.4499
851403,oui,45,0.4534
851023,était,46,0.4569
849106,va,47,0.4604
846180,as,48,0.4638
825251,faire,49,0.4672
804965,ils,50,0.4705
801937,sur,51,0.4738
768588,quoi,52,0.477
741792,se,53,0.48
741184,comme,54,0.4831
737212,sais,55,0.4861
643692,veux,56,0.4888
636481,être,57,0.4914
624770,ici,58,0.494
615531,ma,59,0.4965
610914,toi,60,0.499
605091,dit,61,0.5015
596381,lui,62,0.5039
577781,votre,63,0.5063
573043,es,64,0.5087
565575,pourquoi,65,0.511
555962,où,66,0.5133
549756,rien,67,0.5156
546709,là,68,0.5178
537137,cette,69,0.52
519751,sont,70,0.5221
511822,peux,71,0.5243
511604,quand,72,0.5264
505409,dire,73,0.5284
505146,son,74,0.5305
471814,avez,75,0.5325
468254,ton,76,0.5344
467937,alors,77,0.5363
464764,vais,78,0.5382
452748,comment,79,0.5401
444840,par,80,0.5419
426768,ou,81,0.5437
420368,chose,82,0.5454
414333,bon,83,0.5471
405999,merci,84,0.5488
401668,ont,85,0.5504
401072,juste,86,0.5521
399365,très,87,0.5537
375628,jamais,88,0.5553
370696,été,89,0.5568
367569,avoir,90,0.5583
366576,vraiment,91,0.5598
366537,aussi,92,0.5613
362589,voir,93,0.5628
356488,oh,94,0.5643
352670,sa,95,0.5657
350471,même,96,0.5672
346598,maintenant,97,0.5686
342106,tous,98,0.57
337435,peut,99,0.5714
334261,deux,100,0.5727
333385,ces,101,0.5741
322963,ta,102,0.5754
322428,allez,103,0.5768
321826,êtes,104,0.5781
318045,autre,105,0.5794
304761,fais,106,0.5807
304761,peu,107,0.5819
303812,quelque,108,0.5832
301455,temps,109,0.5844
296028,toujours,110,0.5856
293957,encore,111,0.5868
287775,notre,112,0.588
285355,mes,113,0.5892
282162,besoin,114,0.5903
276708,avait,115,0.5915
271054,accord,116,0.5926
268089,faut,117,0.5937
267599,dois,118,0.5948
264883,vie,119,0.5959
260483,aller,120,0.597
254911,fois,121,0.598
251131,vu,122,0.599
241047,sans,123,0.6
241007,donc,124,0.601
238653,étais,125,0.602
234516,monde,126,0.603
233843,avant,127,0.6039
233188,sûr,128,0.6049
232624,parce,129,0.6058
227863,trop,130,0.6068
226907,parler,131,0.6077
222477,père,132,0.6086
222031,personne,133,0.6095
221590,avais,134,0.6105
218237,crois,135,0.6114
215423,après,136,0.6122
213311,ouais,137,0.6131
210896,dieu,138,0.614
209931,aux,139,0.6148
207552,ses,140,0.6157
207050,pense,141,0.6166
206715,aime,142,0.6174
205255,eu,143,0.6182
204978,homme,144,0.6191
203143,viens,145,0.6199
201999,femme,146,0.6208
201077,ok,147,0.6216
199797,leur,148,0.6224
199432,vrai,149,0.6232
195502,ans,150,0.624
195277,veut,151,0.6248
194292,doit,152,0.6256
189577,mal,153,0.6264
189303,chez,154,0.6272
183849,depuis,155,0.6279
183531,déjà,156,0.6287
182039,beaucoup,157,0.6294
180711,mort,158,0.6302
180375,bonne,159,0.6309
179172,vos,160,0.6317
