count,word,rank,cumulative_fraction
3854593,я,1,0.0367
3244771,не,2,0.0676
2665565,что,3,0.09298
2212420,в,4,0.114
2179689,и,5,0.1348
2067418,ты,6,0.1545
1999607,это,7,0.1735
1240437,на,8,0.1853
1128276,с,9,0.1961
966203,он,10,0.2053
906431,мы,11,0.2139
881303,как,12,0.2223
866523,вы,13,0.2306
849761,да,14,0.2387
816844,мне,15,0.2464
792931,у,16,0.254
788483,нет,17,0.2615
761728,меня,18,0.2687
743468,так,19,0.2758
733887,но,20,0.2828
715697,а,21,0.2896
561249,его,22,0.295
556324,все,23,0.3003
539806,она,24,0.3054
529605,тебя,25,0.3104
528491,о,26,0.3155
475905,если,27,0.32
452494,бы,28,0.3243
447399,тебе,29,0.3286
444669,за,30,0.3328
400958,они,31,0.3366
360171,чтобы,32,0.3401
345823,же,33,0.3434
343773,просто,34,0.3466
337583,есть,35,0.3498
336115,из,36,0.353
329656,ну,37,0.3562
324326,к,38,0.3593
323262,для,39,0.3624
320078,хорошо,40,0.3654
318959,когда,41,0.3684
311084,здесь,42,0.3714
298546,по,43,0.3742
298338,был,44,0.3771
294841,знаю,45,0.3799
294328,то,46,0.3827
290067,только,47,0.3855
280288,было,48,0.3881
270818,может,49,0.3907
265869,вас,50,0.3932
262712,всё,51,0.3957
260695,нас,52,0.3982
254978,от,53,0.4006
251781,вот,54,0.403
240431,быть,55,0.4053
224631,будет,56,0.4075
223176,кто,57,0.4096
220308,почему,58,0.4117
216490,вам,59,0.4138
213254,очень,60,0.4158
213234,могу,61,0.4178
213216,их,62,0.4198
209852,еще,63,0.4218
207557,уже,64,0.4238
204882,или,65,0.4258
204131,спасибо,66,0.4277
199106,нам,67,0.4296
198450,там,68,0.4315
193087,чем,69,0.4333
192345,хочу,70,0.4352
191402,сейчас,71,0.437
189182,где,72,0.4388
188340,нужно,73,0.4406
187343,этого,74,0.4424
184863,ничего,75,0.4441
182473,ее,76,0.4459
181169,была,77,0.4476
177637,мой,78,0.4493
177072,знаешь,79,0.451
171432,ладно,80,0.4526
166789,этом,81,0.4542
165265,до,82,0.4558
164913,потому,83,0.4573
161300,теперь,84,0.4589
159729,думаю,85,0.4604
151740,больше,86,0.4618
148598,п,87,0.4633
147231,со,88,0.4647
145156,раз,89,0.466
142973,её,90,0.4674
142369,время,91,0.4688
142124,ему,92,0.4701
140259,надо,93,0.4714
139803,этот,94,0.4728
135282,ли,95,0.4741
134659,привет,96,0.4753
133289,даже,97,0.4766
133093,пока,98,0.4779
132120,сказал,99,0.4791
130439,себя,100,0.4804
128448,должен,101,0.4816
126317,хочешь,102,0.4828
126309,давай,103,0.484
126094,эй,104,0.4852
124810,ещё,105,0.4864
124488,того,106,0.4876
124000,никогда,107,0.4888
123589,тоже,108,0.4899
118430,тогда,109,0.4911
117130,него,110,0.4922
116898,были,111,0.4933
116667,конечно,112,0.4944
116108,ни,113,0.4955
116106,об,114,0.4966
114068,правда,115,0.4977
113071,тут,116,0.4988
110683,моя,117,0.4998
107689,пожалуйста,118,0.5009
106191,сказать,119,0.5019
105934,тобой,120,0.5029
103368,сегодня,121,0.5039
102150,один,122,0.5048
100352,можешь,123,0.5058
99938,лучше,124,0.5067
98318,сюда,125,0.5077
98090,мной,126,0.5086
96667,сделать,127,0.5095
95050,значит,128,0.5104
94922,всегда,129,0.5113
93196,ей,130,0.5122
92345,порядке,131,0.5131
91429,дело,132,0.514
91258,должны,133,0.5149
90219,том,134,0.5157
89386,можно,135,0.5166
88773,без,136,0.5174
88582,день,137,0.5183
86475,буду,138,0.5191
84108,делать,139,0.5199
83755,хотел,140,0.5207
83528,эти,141,0.5215
82828,много,142,0.5223
82123,этим,143,0.523
81293,после,144,0.5238
80770,чего,145,0.5246
80420,всего,146,0.5254
79848,твой,147,0.5261
79563,во,148,0.5269
78907,ним,149,0.5276
76427,лет,150,0.5283
76397,боже,151,0.5291
75819,них,152,0.5298
75309,мистер,153,0.5305
74974,жизнь,154,0.5312
74672,ней,155,0.5319
74564,ведь,156,0.5326
74254,такой,157,0.5334
74033,потом,158,0.5341
73145,который,159,0.5348
73088,немного,160,0.5355
73052,возможно,161,0.5361
72650,через,162,0.5368
72224,сэр,163,0.5375
71688,всех,164,0.5382
71448,слишком,165,0.5389
71156,себе,166,0.5396
70916,им,167,0.5402
69981,такое,168,0.5409
69530,должна,169,0.5416
68595,моей,170,0.5422
68434,знаете,171,0.5429
68400,думаешь,172,0.5435
67633,этой,173,0.5442
67604,люди,174,0.5448
67141,зачем,175,0.5455
66816,свою,176,0.5461
65392,твоя,177,0.5467
64959,сказала,178,0.5473
64822,человек,179,0.548
64699,назад,180,0.5486
