count,word,rank,cumulative_fraction
12218247,de,1,0.03557
12131641,que,2,0.07088
10444550,no,3,0.1013
8037570,a,4,0.1247
7711865,la,5,0.1471
6389567,el,6,0.1657
6003821,y,7,0.1832
5897102,es,8,0.2004
5770082,en,9,0.2172
5088161,lo,10,0.232
4759154,un,11,0.2458
3748676,por,12,0.2567
3490218,qué,13,0.2669
3312141,me,14,0.2765
3255762,una,15,0.286
2604500,los,16,0.2936
2578296,se,17,0.3011
2560812,te,18,0.3086
2558479,con,19,0.316
2388336,para,20,0.323
2043418,está,21,0.3289
2039945,mi,22,0.3348
1993102,si,23,0.3406
1986438,pero,24,0.3464
1947538,sí,25,0.3521
1722794,bien,26,0.3571
1706115,eso,27,0.3621
1699637,su,28,0.367
1696744,las,29,0.372
1623675,yo,30,0.3767
1398274,del,31,0.3808
1383708,como,32,0.3848
1379940,tu,33,0.3888
1363977,aquí,34,0.3928
1311313,al,35,0.3966
1262973,más,36,0.4003
1214398,le,37,0.4038
1092144,esto,38,0.407
1090900,todo,39,0.4102
930618,ya,40,0.4129
922760,estoy,41,0.4155
914390,muy,42,0.4182
913738,ahora,43,0.4209
897814,esta,44,0.4235
891410,ha,45,0.4261
885443,vamos,46,0.4287
879387,algo,47,0.4312
875928,así,48,0.4338
854041,bueno,49,0.4362
853989,hay,50,0.4387
807270,tengo,51,0.4411
789183,él,52,0.4434
789081,cuando,53,0.4457
768530,estás,54,0.4479
761934,sé,55,0.4501
760143,tú,56,0.4523
728452,nada,57,0.4545
727968,nos,58,0.4566
720527,este,59,0.4587
718768,cómo,60,0.4608
711685,o,61,0.4628
689735,he,62,0.4649
688341,ser,63,0.4669
681905,puedo,64,0.4688
681808,tiene,65,0.4708
680123,quiero,66,0.4728
677551,ella,67,0.4748
667267,hacer,68,0.4767
661581,fue,69,0.4786
658828,gracias,70,0.4806
649417,era,71,0.4825
648211,vez,72,0.4843
645307,sólo,73,0.4862
631736,soy,74,0.4881
577259,todos,75,0.4897
573387,porque,76,0.4914
568019,son,77,0.4931
565846,tienes,78,0.4947
550478,creo,79,0.4963
541320,sabes,80,0.4979
540460,estaba,81,0.4995
534689,voy,82,0.501
532470,eres,83,0.5026
530087,puede,84,0.5041
523692,ese,85,0.5056
518294,usted,86,0.5071
