count,word,rank,cumulative_fraction
17620,ich,1,0.04798
9368,du,2,0.07349
8882,das,3,0.09768
8048,ist,4,0.1196
7535,nicht,5,0.1401
5682,und,6,0.1556
5634,sie,7,0.1709
4920,was,8,0.1843
4732,es,9,0.1972
4720,ja,10,0.2101
4333,die,11,0.2219
3998,wir,12,0.2328
3120,der,13,0.2413
3075,ein,14,0.2496
3010,mir,15,0.2578
2972,so,16,0.2659
2964,dass,17,0.274
2845,mit,18,0.2817
2654,aber,19,0.289
2640,zu,20,0.2962
2363,nein,21,0.3026
2332,wie,22,0.3089
2330,doch,23,0.3153
2218,er,24,0.3213
2109,in,25,0.3271
2077,mich,26,0.3327
1982,dir,27,0.3381
1965,dich,28,0.3435
1922,wenn,29,0.3487
1888,hast,30,0.3538
1878,hat,31,0.359
1845,noch,32,0.364
1829,auf,33,0.369
1827,mal,34,0.3739
1785,den,35,0.3788
1778,war,36,0.3836
1773,dann,37,0.3885
1773,auch,38,0.3933
1736,eine,39,0.398
1718,da,40,0.4027
1658,ihr,41,0.4072
1634,für,42,0.4117
1627,nur,43,0.4161
1555,bin,44,0.4203
1540,gut,45,0.4245
1503,hier,46,0.4286
1460,habe,47,0.4326
1430,jetzt,48,0.4365
1429,schon,49,0.4404
1413,sind,50,0.4442
1407,oh,51,0.4481
1394,an,52,0.4519
1330,von,53,0.4555
1223,uns,54,0.4588
1206,denn,55,0.4621
1187,einen,56,0.4653
1163,meine,57,0.4685
1159,haben,58,0.4717
1153,mein,59,0.4748
1129,ok,60,0.4779
1113,weiß,61,0.4809
1099,kann,62,0.4839
1082,wirklich,63,0.4868
1067,hab,64,0.4897
1005,na,65,0.4925
987,sich,66,0.4952
957,also,67,0.4978
930,bist,68,0.5003
920,als,69,0.5028
907,will,70,0.5053
887,aus,71,0.5077
856,wird,72,0.51
851,sehr,73,0.5123
835,wieder,74,0.5146
821,sagen,75,0.5169
806,hey,76,0.519
796,hi,77,0.5212
792,bitte,78,0.5234
770,dem,79,0.5255
767,oder,80,0.5276
757,sein,81,0.5296
752,alles,82,0.5317
725,euch,83,0.5336
720,einfach,84,0.5356
710,ganz,85,0.5375
688,nichts,86,0.5394
678,weißt,87,0.5413
677,keine,88,0.5431
671,ach,89,0.5449
669,immer,90,0.5467
660,im,91,0.5485
659,muss,92,0.5503
657,ihn,93,0.5521
639,danke,94,0.5539
628,mehr,95,0.5556
626,werde,96,0.5573
620,tut,97,0.559
610,soll,98,0.5606
610,geht,99,0.5623
594,wieso,100,0.5639
584,würde,101,0.5655
579,weil,102,0.5671
576,gehen,103,0.5686
570,gott,104,0.5702
570,gar,105,0.5718
564,vielleicht,106,0.5733
564,bei,107,0.5748
562,willst,108,0.5764
553,werden,109,0.5779
551,leid,110,0.5794
543,mann,111,0.5808
542,viel,112,0.5823
541,sehen,113,0.5838
535,machen,114,0.5852
533,um,115,0.5867
518,nach,116,0.5881
514,man,117,0.5895
510,wollte,118,0.5909
506,nun,119,0.5923
503,deine,120,0.5936
493,nie,121,0.595
490,vor,122,0.5963
486,los,123,0.5976
462,gesagt,124,0.5989
460,heute,125,0.6002
447,frau,126,0.6014
441,tun,127,0.6026
429,gern,128,0.6037
428,wo,129,0.6049
428,ihm,130,0.6061
422,kannst,131,0.6072
415,wer,132,0.6084
414,lhr,133,0.6095
412,über,134,0.6106
411,hallo,135,0.6117
410,wäre,136,0.6128
404,einem,137,0.6139
404,dein,138,0.615
389,etwas,139,0.6161
389,diese,140,0.6172
388,alle,141,0.6182
383,einer,142,0.6193
378,schön,143,0.6203
377,klar,144,0.6213
376,können,145,0.6223
374,finde,146,0.6234
373,'ne,147,0.6244
371,wollen,148,0.6254
364,hatte,149,0.6264
362,damit,150,0.6274
359,baby,151,0.6283
356,wissen,152,0.6293
355,genau,153,0.6303
354,zum,154,0.6312
353,he,155,0.6322
346,kein,156,0.6331
333,ihnen,157,0.634
332,wohl,158,0.6349
332,meinen,159,0.6359
330,gerade,160,0.6368
327,warum,161,0.6376
321,natürlich,162,0.6385
311,hätte,163,0.6394
301,liebe,164,0.6402
297,macht,165,0.641
296,gleich,166,0.6418
290,hör,167,0.6426
286,leute,168,0.6434
286,gemacht,169,0.6441
286,bis,170,0.6449
285,dieser,171,0.6457
284,essen,172,0.6465
283,zusammen,173,0.6472
282,müssen,174,0.648
281,möchte,175,0.6488
275,toll,176,0.6495
273,kommt,177,0.6503
268,musst,178,0.651
268,komm,179,0.6517
267,wirst,180,0.6525
264,am,181,0.6532
263,beide,182,0.6539
262,zeit,183,0.6546
261,ob,184,0.6553
255,weg,185,0.656
254,sollte,186,0.6567
252,nett,187,0.6574
250,keinen,188,0.6581
249,recht,189,0.6587
248,sicher,190,0.6594
248,dachte,191,0.6601
246,reden,192,0.6608
245,meiner,193,0.6614
244,vater,194,0.6621
244,gibt,195,0.6628
243,waren,196,0.6634
242,sag,197,0.6641
240,paar,198,0.6647
237,passiert,199,0.6654
235,habt,200,0.666
232,freund,201,0.6667
230,glaube,202,0.6673
229,sagte,203,0.6679
229,kommen,204,0.6685
228,warte,205,0.6691
228,könnte,206,0.6698
225,eigentlich,207,0.6704
222,morgen,208,0.671
